 ,X,Y
1,3493,220
2,3451,246
3,3329,344
4,3185,404
5,3141,445
6,3170,449
7,3114,584
8,3119,638
9,3230,564
10,3247,492
11,3259,614
12,3327,617
13,3351,616
14,3329,653
15,3357,664
16,3339,662
17,3512,693
18,3471,427
19,3732,429
20,3670,581
21,3862,608
22,3936,683
23,3977,733
24,3926,747
25,3102,780
26,3107,872
27,3114,940
28,3105,1076
29,3169,1111
30,3313,728
31,3294,881
32,3274,881
33,3386,1050
34,3423,974
35,3523,902
36,3542,970
37,3528,985
38,3476,1058
39,3509,1051
40,3583,1096
41,3596,1074
42,3640,819
43,3667,832
44,3727,803
45,3731,864
46,3728,927
47,3884,931
48,3834,943
49,3157,1229
50,3354,1256
51,3482,1271
52,3538,1270
53,3705,1376
54,3830,1213
55,3829,1110
56,3885,1258
57,3977,1394
58,3925,1516
59,3710,1529
60,3725,1570
61,3346,1446
62,3113,1294
63,3106,1413
64,3151,1974
65,3430,1906
66,3448,1925
67,3629,1937
68,3600,1648
69,3617,1717
70,3811,1619
71,3708,1696
72,3701,1865
73,3716,1908
74,3753,1841
75,3904,1863
76,3827,1914
77,3835,2090
78,3898,2128
79,3953,2252
80,3780,2238
81,3729,2169
82,3651,2143
83,3309,2181
84,3184,2201
85,3163,2214
86,3096,2362
87,3141,2308
88,3217,2387
89,3268,2339
90,3337,2403
91,3292,2472
92,3106,2483
93,3214,2545
94,3701,2366
95,3729,2385
96,3782,2448
97,3969,2678
98,3916,2653
99,3842,2637
100,3799,2634
101,3665,2553
102,3543,2668
103,3497,2668
104,3346,2715
105,3276,2787
106,3189,2616
107,3125,2601
108,3094,2612
109,3095,2672
110,3089,2741
111,3104,2874
112,3134,2855
113,3221,2850
114,3490,2825
115,3770,2730
116,3477,3080
117,3476,3000
118,3536,3077
119,3665,3020
120,3881,2931
121,3100,2982
122,3083,3054
123,3090,3021
124,3089,3156
125,3095,3218
126,3128,3160
127,3095,3279
128,3387,3176
129,3455,3200
130,3368,3380
131,3473,3452
132,3540,3348
